id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,920.0001,1020.0001,910.0,920.0001
2,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,1020.0001,1120.0001,980.0,990.0001
1,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,1021.00010001,1031.00010001,1020.0001,1021.00010001
1,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,0.1,1041.0001000105,1041.1001000105,1031.00010001,1041.0001000105
1,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,5,8,5,CloudModule,1.0,1051.100100011,1052.100100011,1041.1001000105,1051.100100011
1,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,5,13,5,0,FogModuleV,10.0,1053.100100012,1063.100100012,1052.100100011,1053.100100012
1,COMP_M,VehicleProcessing,S,EdgeToSensor,13,19,0,9,SensorModuleV,10.0,1073.100110012,1083.100110012,1063.100100012,1073.100110012
3,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,1120.0001,1220.0001,1050.0,1060.0001
2,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,1121.0001000099999,1131.0001000099999,1120.0001,1121.0001000099999
2,COMP_M,VehicleProcessing,CloudModule,FogToCloud,2,18,5,8,FogModule,0.1,1141.0001000104999,1141.1001000104998,1131.0001000099999,1141.0001000104999
2,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,18,6,8,6,CloudModule,1.0,1151.1001000109998,1152.1001000109998,1141.1001000104998,1151.1001000109998
2,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,15,6,2,FogModuleV,10.0,1153.1001000119998,1163.1001000119998,1152.1001000109998,1153.1001000119998
2,COMP_M,VehicleProcessing,S,EdgeToSensor,15,19,2,9,SensorModuleV,10.0,1175.1001100139997,1185.1001100139997,1163.1001000119998,1175.1001100139997
4,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,21,8,9,0,None,100.0,1220.0001,1320.0001,1120.0,1130.0001
3,COMP_M,VehicleProcessing,FogModule,EdgeToFog,8,2,0,5,SensorModule,10.0,1221.0001000099999,1231.0001000099999,1220.0001,1221.0001000099999
