-1.499968333333333348e+01,-4.699968333333332993e+01
-1.499936666666666696e+01,-4.699936666666666696e+01
-1.499905000000000044e+01,-4.699904999999999688e+01
-1.499873333333333392e+01,-4.699873333333333392e+01
-1.499841666666666740e+01,-4.699841666666666384e+01
-1.499810000000000088e+01,-4.699810000000000088e+01
-1.499778333333333258e+01,-4.699778333333333080e+01
-1.499746666666666606e+01,-4.699746666666666783e+01
-1.499714999999999954e+01,-4.699714999999999776e+01
-1.499683333333333302e+01,-4.699683333333333479e+01
-1.499651666666666650e+01,-4.699651666666666472e+01
-1.499619999999999997e+01,-4.699620000000000175e+01
-1.499588333333333345e+01,-4.699588333333333168e+01
-1.499556666666666693e+01,-4.699556666666666871e+01
-1.499525000000000041e+01,-4.699524999999999864e+01
-1.499493333333333389e+01,-4.699493333333333567e+01
-1.499461666666666737e+01,-4.699461666666666559e+01
-1.499430000000000085e+01,-4.699430000000000263e+01
-1.499398333333333255e+01,-4.699398333333333255e+01
-1.499366666666666603e+01,-4.699366666666666958e+01
-1.499334999999999951e+01,-4.699334999999999951e+01
-1.499303333333333299e+01,-4.699303333333333654e+01
-1.499271666666666647e+01,-4.699271666666666647e+01
-1.499239999999999995e+01,-4.699240000000000350e+01
-1.499208333333333343e+01,-4.699208333333333343e+01
-1.499176666666666691e+01,-4.699176666666666335e+01
-1.499145000000000039e+01,-4.699145000000000039e+01
-1.499113333333333387e+01,-4.699113333333333031e+01
-1.499081666666666734e+01,-4.699081666666666734e+01
-1.499050000000000082e+01,-4.699049999999999727e+01
-1.499018333333333253e+01,-4.699018333333333430e+01
-1.498986666666666601e+01,-4.698986666666666423e+01
-1.498954999999999949e+01,-4.698955000000000126e+01
-1.498923333333333296e+01,-4.698923333333333119e+01
-1.498891666666666644e+01,-4.698891666666666822e+01
-1.498859999999999992e+01,-4.698859999999999815e+01
-1.498828333333333340e+01,-4.698828333333333518e+01
-1.498796666666666688e+01,-4.698796666666666511e+01
-1.498765000000000036e+01,-4.698765000000000214e+01
-1.498733333333333384e+01,-4.698733333333333206e+01
-1.498701666666666732e+01,-4.698701666666666910e+01
-1.498670000000000080e+01,-4.698669999999999902e+01
-1.498638333333333250e+01,-4.698638333333333605e+01
-1.498606666666666598e+01,-4.698606666666666598e+01
-1.498574999999999946e+01,-4.698575000000000301e+01
-1.498543333333333294e+01,-4.698543333333333294e+01
-1.498511666666666642e+01,-4.698511666666666997e+01
-1.498479999999999990e+01,-4.698479999999999990e+01
-1.498448333333333338e+01,-4.698448333333333693e+01
-1.498416666666666686e+01,-4.698416666666666686e+01
-1.498385000000000034e+01,-4.698384999999999678e+01
-1.498353333333333381e+01,-4.698353333333333381e+01
-1.498321666666666729e+01,-4.698321666666666374e+01
-1.498290000000000077e+01,-4.698290000000000077e+01
-1.498258333333333425e+01,-4.698258333333333070e+01
-1.498226666666666596e+01,-4.698226666666666773e+01
-1.498194999999999943e+01,-4.698194999999999766e+01
-1.498163333333333291e+01,-4.698163333333333469e+01
-1.498131666666666639e+01,-4.698131666666666462e+01
-1.498099999999999987e+01,-4.698100000000000165e+01
-1.498068333333333335e+01,-4.698068333333333157e+01
-1.498036666666666683e+01,-4.698036666666666861e+01
-1.498005000000000031e+01,-4.698004999999999853e+01
-1.497973333333333379e+01,-4.697973333333333557e+01
-1.497941666666666727e+01,-4.697941666666666549e+01
-1.497910000000000075e+01,-4.697910000000000252e+01
-1.497878333333333423e+01,-4.697878333333333245e+01
-1.497846666666666593e+01,-4.697846666666666948e+01
-1.497814999999999941e+01,-4.697814999999999941e+01
-1.497783333333333289e+01,-4.697783333333333644e+01
-1.497751666666666637e+01,-4.697751666666666637e+01
-1.497719999999999985e+01,-4.697720000000000340e+01
-1.497688333333333333e+01,-4.697688333333333333e+01
-1.497656666666666680e+01,-4.697656666666667036e+01
-1.497625000000000028e+01,-4.697625000000000028e+01
-1.497593333333333376e+01,-4.697593333333333021e+01
-1.497561666666666724e+01,-4.697561666666666724e+01
