id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,910,1000,0
2,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,980,1000,0
1,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1020.0001,1000,0
1,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1031.00010001,100,0
1,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1041.1001000105,100,0
3,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1050,1000,1
1,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1052.100100011,100,1
1,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1063.100100012,100,0
4,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1120,1000,0
2,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1120.0001,1000,1
2,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1131.0001000099999,100,0
2,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1141.1001000104998,100,0
2,LINK,6,2,VehicleProcessing,1.000000001,FogToEdge,1152.1001000109998,100,0
2,LINK,2,1,VehicleProcessing,1.000000001,EdgeToSensor,1163.1001000119998,100,0
2,LINK,1,0,VehicleProcessing,1.000000001,EdgeToSensor,1164.1001000129997,100,0
2,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1165.1001000139997,100,0
5,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1190,1000,0
3,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1220.0001,1000,0
3,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1231.0001000099999,100,0
3,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1241.1001000104998,100,0
3,LINK,7,4,VehicleProcessing,1.000000001,FogToEdge,1252.1001000109998,100,0
6,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1260,1000,0
3,LINK,4,7,VehicleProcessing,1.000000001,EdgeToSensor,1263.1001000119998,100,1
3,LINK,7,8,VehicleProcessing,10.0000000005,EdgeToSensor,1264.1001000129997,100,1
3,LINK,8,5,VehicleProcessing,10.0000000005,EdgeToSensor,1274.1001000134997,100,0
3,LINK,5,0,VehicleProcessing,1.000000001,EdgeToSensor,1284.1001000139997,100,0
3,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1285.1001000149997,100,0
4,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1320.0001,1000,0
7,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1330,1000,0
4,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1331.0001000099999,100,1
4,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1341.1001000104998,100,0
4,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1352.1001000109998,100,0
4,LINK,1,0,VehicleProcessing,1.000000001,EdgeToSensor,1363.1001000119998,100,0
4,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1364.1001000129997,100,0
8,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1400,1000,0
5,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1420.0001,1000,0
5,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1431.0001000099999,100,0
5,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1441.1001000104998,100,0
5,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1452.1001000109998,100,0
5,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1463.1001000119998,100,0
9,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1470,1000,1
6,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1520.0001,1000,0
