id,type,src,dst,app,latency,message,ctime,size,buffer
75,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5206.000100012001,1000,0
74,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5207.000100022001,1000,0
87,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5210,1000,1
76,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5220.0001,1000,0
76,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5231.00010001,200,0
76,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5246.0001000110005,200,0
88,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5260,1000,0
76,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5306.000100012001,1000,0
75,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5307.000100022001,1000,0
89,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5310,1000,1
77,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5320.0001,1000,0
77,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5331.00010001,200,0
77,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5346.0001000110005,200,0
90,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5360,1000,0
77,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5406.000100012001,1000,0
76,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5407.000100022001,1000,0
91,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5410,1000,1
78,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5420.0001,1000,0
78,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5431.00010001,200,0
78,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5446.0001000110005,200,0
92,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5460,1000,0
78,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5506.000100012001,1000,0
77,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5507.000100022001,1000,0
93,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5510,1000,1
79,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5520.0001,1000,0
79,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5531.00010001,200,0
79,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5546.0001000110005,200,0
94,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5560,1000,0
79,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5606.000100012001,1000,0
78,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5607.000100022001,1000,0
95,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5610,1000,1
80,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5620.0001,1000,0
80,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5631.00010001,200,0
80,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5646.0001000110005,200,0
96,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5660,1000,0
80,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5706.000100012001,1000,0
79,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5707.000100022001,1000,0
97,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5710,1000,1
81,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5720.0001,1000,0
81,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5731.00010001,200,0
