id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,910,1000,0
2,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1000,1000,0
1,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1020.0001,1000,0
1,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1031.00010001,100,0
1,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1041.1001000105,100,0
1,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1052.100100011,100,0
1,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1063.100100012,100,0
3,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1090,1000,0
2,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1120.0001,1000,0
2,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1131.0001000099999,100,0
2,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1141.1001000104998,100,0
2,LINK,6,2,VehicleProcessing,1.000000001,FogToEdge,1152.1001000109998,100,0
2,LINK,2,6,VehicleProcessing,1.000000001,EdgeToSensor,1163.1001000119998,100,0
2,LINK,6,8,VehicleProcessing,10.0000000005,EdgeToSensor,1164.1001000129997,100,0
2,LINK,8,5,VehicleProcessing,10.0000000005,EdgeToSensor,1174.1001000134997,100,0
4,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1180,1000,1
2,LINK,5,0,VehicleProcessing,1.000000001,EdgeToSensor,1184.1001000139997,100,1
2,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1185.1001000149997,100,1
3,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1220.0001,1000,0
3,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1231.0001000099999,100,0
3,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1241.1001000104998,100,0
3,LINK,7,4,VehicleProcessing,1.000000001,FogToEdge,1252.1001000109998,100,0
3,LINK,4,7,VehicleProcessing,1.000000001,EdgeToSensor,1263.1001000119998,100,0
3,LINK,7,8,VehicleProcessing,10.0000000005,EdgeToSensor,1264.1001000129997,100,0
5,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1270,1000,1
3,LINK,8,5,VehicleProcessing,10.0000000005,EdgeToSensor,1274.1001000134997,100,1
3,LINK,5,0,VehicleProcessing,1.000000001,EdgeToSensor,1284.1001000139997,100,0
3,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1285.1001000149997,100,0
4,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1320.0001,1000,0
4,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1331.0001000099999,100,0
4,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1341.1001000104998,100,0
4,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1352.1001000109998,100,0
6,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1360,1000,0
4,LINK,1,5,VehicleProcessing,1.000000001,EdgeToSensor,1363.1001000119998,100,1
4,LINK,5,0,VehicleProcessing,1.000000001,EdgeToSensor,1364.1001000129997,100,1
4,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1365.1001000139997,100,1
5,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1420.0001,1000,0
5,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1431.0001000099999,100,0
5,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1441.1001000104998,100,0
7,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1450,1000,1
5,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1452.1001000109998,100,1
5,LINK,STARLINK-31101,5,VehicleProcessing,20.000000001,EdgeToSensor,1463.1001000119998,100,0
5,LINK,5,0,VehicleProcessing,1.000000001,EdgeToSensor,1483.1001000129997,100,0
5,LINK,0,9,VehicleProcessing,10.00001,EdgeToSensor,1484.1001000139997,100,0
6,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,1520.0001,1000,0
6,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1531.0001000099999,100,0
8,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,1540,1000,1
6,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1541.1001000104998,100,1
6,LINK,5,0,VehicleProcessing,1.000000001,FogToEdge,1552.1001000109998,100,0
6,LINK,STARLINK-32444,5,VehicleProcessing,20.000000001,EdgeToSensor,1563.1001000119998,100,0
